label,fname,area
31,ctenophore_cydippid_tentacles/44726.jpg,11.437752072324
69,hydromedusae_shapeA/128601.jpg,12.418643249376
12,chaetognath_other/127111.jpg,12.549544038302
115,tunicate_doliolid_nurse/85069.jpg,12.02790599657
8,appendicularian_straight/72528.jpg,13.074141462753
38,diatom_chain_tube/145601.jpg,10.584962500721
22,copepod_calanoid_octomoms/75332.jpg,11.204571144249
38,diatom_chain_tube/25814.jpg,10.635718120331
73,hydromedusae_solmaris/53856.jpg,12.793196859061
84,protist_fuzzy_olive/67239.jpg,11.304921669582
115,tunicate_doliolid_nurse/21438.jpg,12.14338321399
6,appendicularian_slight_curve/67504.jpg,10.948367231585
110,trichodesmium_multiple/71836.jpg,12.183015000883
13,chaetognath_sagitta/113876.jpg,12.346513733166
25,copepod_cyclopoid_oithona/15692.jpg,11.169925001442
99,siphonophore_calycophoran_rocketship_young/82199.jpg,13.086799685623
6,appendicularian_slight_curve/135875.jpg,10.346513733166
11,chaetognath_non_sagitta/62298.jpg,12.323054760342
11,chaetognath_non_sagitta/6496.jpg,12.06474276475
41,echinoderm_larva_pluteus_typeC/112066.jpg,12.279610581052
26,copepod_cyclopoid_oithona_eggs/20223.jpg,11.106562940445
96,shrimp_zoea/59260.jpg,10.975131456921
72,hydromedusae_sideview_big/136868.jpg,14.732008389667
97,siphonophore_calycophoran_abylidae/100478.jpg,11.164278438301
17,copepod_calanoid_eucalanus/146520.jpg,13.212800334429
99,siphonophore_calycophoran_rocketship_young/86154.jpg,10.401946123977
47,ephyra/24559.jpg,12.638209626634
116,tunicate_partial/116579.jpg,11.587777516328
115,tunicate_doliolid_nurse/52392.jpg,13.109830654279
12,chaetognath_other/85887.jpg,11.714245517666
116,tunicate_partial/121138.jpg,11.259154768867
111,trichodesmium_puff/86348.jpg,12.066089190458
111,trichodesmium_puff/45230.jpg,11.533329732306
11,chaetognath_non_sagitta/76964.jpg,12.60733031375
13,chaetognath_sagitta/45538.jpg,12.164278438301
86,protist_other/103225.jpg,10.815383295814
109,trichodesmium_bowtie/51013.jpg,12.333155350311
114,tunicate_doliolid/20004.jpg,10.912140856296
88,pteropod_butterfly/145211.jpg,11.91064273047
7,appendicularian_s_shape/72315.jpg,11.292321632802
119,unknown_blobs_and_smudges/131282.jpg,11.154818109052
95,shrimp_sergestidae/147286.jpg,14.418247936306
1,acantharia_protist/25642.jpg,11.083479327332
37,diatom_chain_string/72469.jpg,11.414685235807
20,copepod_calanoid_large/144075.jpg,11.422590433893
12,chaetognath_other/99422.jpg,13.052568050804
15,copepod_calanoid/44326.jpg,11.562242424221
4,amphipods/107942.jpg,11.832890014165
8,appendicularian_straight/160137.jpg,11.749869427397
54,fish_larvae_myctophids/75954.jpg,12.116343961237
11,chaetognath_non_sagitta/41366.jpg,12.151967870968
11,chaetognath_non_sagitta/98598.jpg,12.307485448589
6,appendicularian_slight_curve/89565.jpg,11.078150807735
63,hydromedusae_liriope/125406.jpg,15.600958231337
62,hydromedusae_haliscera_small_sideview/142538.jpg,11.098690096674
91,radiolarian_chain/151597.jpg,12.074141462753
112,trichodesmium_tuft/4803.jpg,11.658657792126
1,acantharia_protist/64486.jpg,12.174613647236
109,trichodesmium_bowtie/53055.jpg,12.209453365629
119,unknown_blobs_and_smudges/26289.jpg,11.975131456921
12,chaetognath_other/68814.jpg,12.25148241062
99,siphonophore_calycophoran_rocketship_young/117674.jpg,11.014020470315
71,hydromedusae_shapeB/115288.jpg,11.078150807735
111,trichodesmium_puff/30936.jpg,10.83999107054
99,siphonophore_calycophoran_rocketship_young/52250.jpg,12.243769031962
1,acantharia_protist/135180.jpg,13.243917755743
11,chaetognath_non_sagitta/105643.jpg,13.392317422779
78,hydromedusae_typeF/28915.jpg,11.007027266894
97,siphonophore_calycophoran_abylidae/38626.jpg,12.375310997473
66,hydromedusae_narco_young/136076.jpg,10.700439718141
14,chordate_type1/119070.jpg,11.784634845558
66,hydromedusae_narco_young/4490.jpg,11.918117851032
117,tunicate_salp/116400.jpg,13.804736051614
91,radiolarian_chain/105614.jpg,10.707359132081
120,unknown_sticks/72863.jpg,11.7448338375
111,trichodesmium_puff/105849.jpg,11.400345796535
110,trichodesmium_multiple/30769.jpg,12.696967526234
28,crustacean_other/14022.jpg,11.339850002885
121,unknown_unclassified/151655.jpg,13.467605550083
86,protist_other/59132.jpg,11.428360172704
25,copepod_cyclopoid_oithona/117618.jpg,10.683871868623
6,appendicularian_slight_curve/68464.jpg,10.486835021563
9,artifacts/41692.jpg,11.14338321399
26,copepod_cyclopoid_oithona_eggs/75710.jpg,10.915879378836
66,hydromedusae_narco_young/119862.jpg,11.920352855415
10,artifacts_edge/64594.jpg,10.513727595952
35,detritus_filamentous/68099.jpg,10.759888183222
26,copepod_cyclopoid_oithona_eggs/74586.jpg,11.285402218862
86,protist_other/17652.jpg,11.178664851006
12,chaetognath_other/149003.jpg,12.120237877342
56,fish_larvae_very_thin_body/158893.jpg,10.861086905995
116,tunicate_partial/135358.jpg,10.816983623255
26,copepod_cyclopoid_oithona_eggs/94987.jpg,11.199672344836
109,trichodesmium_bowtie/44621.jpg,12.109830654279
111,trichodesmium_puff/14254.jpg,10.946906274456
86,protist_other/113858.jpg,10.9772799235
70,hydromedusae_shapeA_sideview_small/116877.jpg,10.567005370247
71,hydromedusae_shapeB/13709.jpg,12.199672344836
12,chaetognath_other/116358.jpg,12.436711542137
25,copepod_cyclopoid_oithona/95352.jpg,10.598982971036
115,tunicate_doliolid_nurse/4408.jpg,11.118292233027
68,hydromedusae_partial_dark/154589.jpg,11.287135186087
99,siphonophore_calycophoran_rocketship_young/72118.jpg,13.152601744019
86,protist_other/89751.jpg,10.885696373339
41,echinoderm_larva_pluteus_typeC/59161.jpg,12.997532347526
41,echinoderm_larva_pluteus_typeC/55323.jpg,13.240791332162
50,fecal_pellet/64502.jpg,10.78381675932
11,chaetognath_non_sagitta/72461.jpg,12.275542556087
10,artifacts_edge/37766.jpg,10.401946123977
24,copepod_cyclopoid_copilia/36131.jpg,12.53478921148
7,appendicularian_s_shape/89190.jpg,10.588714635582
109,trichodesmium_bowtie/93197.jpg,12.140190703192
34,detritus_blob/154821.jpg,10.781359713525
85,protist_noctiluca/108941.jpg,11.321928094887
7,appendicularian_s_shape/61646.jpg,11.074141462753
11,chaetognath_non_sagitta/11302.jpg,12.885124367104
25,copepod_cyclopoid_oithona/139655.jpg,12.195372207403
111,trichodesmium_puff/85667.jpg,12.108524456778
